번호,자재ID,자재명,대분류,중분류,단위,규격,가격,색상,재고,공급업체,지점,메모
,,등골나무 - 핑크,생화,폼플라워,,,5000,핑크,1,월드플로라,,
,,라넌큘러스 레드,생화,폼플라워,,,11520,레드,1,월드플로라,,
,,라넌큘러스 레이디 연핑크,생화,폼플라워,,,24000,핑크,1,,,
,,라넌큘러스 버터플라이 레드,생화,폼플라워,,,15168,레드,1,월드플로라,,
,,라넌큘러스 버터플라이 연핑크,생화,폼플라워,,,7500,핑크,1,핑크,,
,,라넌큘러스 버터플라이 크림,생화,폼플라워,,,15168,흰색,1,,,
,,라넌큘러스 버터플라이 피탈로스,생화,폼플라워,,,8000,,2,,,
,,러넌큘러스 베네르,생화,폼플라워,,,9000,,1,일산플라워-양재,,
,,라넌큘러스 연핑크,생화,폼플라워,,,12480,핑크,2,월드플로라,,
,,라넌큘러스 오렌지 (국산),생화,폼플라워,,,12500,오렌지,1,월드플로라,,
,,라넌큘러스 크림,생화,폼플라워,,,11500,흰색,1,월드플로라,,
,,라넌큘러스 피치,생화,폼플라워,,,9504,핑크,2,월드플로라,,
,,라넌큘러스 화이트,생화,폼플라워,,,12000,흰색,1,흰색,,
,,러넌큘러스 노랑,생화,폼플라워,,,10500,옐로우,1,월드플로라,,
,,맨드라미 - 오렌지,생화,폼플라워,,,6500,오렌지,1,월드플로라,,
,,맨드라미 노랑,생화,폼플라워,,,5500,옐로우,1,,,
,,맨드라미 와인,생화,폼플라워,,,6500,,1,,,
,,메리골드 - 노랑,생화,폼플라워,,,9500,옐로우,3,월드플로라,,
,,메리골드 바닐라,생화,폼플라워,,,12000,옐로우,1,,,
,,메리골드 주황,생화,폼플라워,,,9500,옐로우,7,,,
,,백합 겹 디안타 쌍대,생화,폼플라워,,,19008,기타,1,월드플로라,,
,,백합 겹 이사벨라,생화,폼플라워,,,15000,기타,2,월드플로라,,
,,백합 겹 화이트,생화,폼플라워,,,18800,흰색,1,,,
,,백합 아미스타 쌍대,생화,폼플라워,,,11500,,1,,,
,,백합 오바다,생화,폼플라워,,,11125,기타,1,꽃도매119,,
,,백합 하이브리드 두카티 5대 (네덜란드),생화,폼플라워,,,15000,기타,4,월드플로라,,
,,백합 하이브리드 트윈라이프핑크,생화,폼플라워,,,15800,핑크,1,,,
,,부들레아 화이트,생화,폼플라워,,,7000,흰색,1,일산플라워-양재,,
,,부들레야 옐로우,생화,폼플라워,,,6000,옐로우,1,,,
,,서양란 반다,생화,폼플라워,,,8000,,1,,,
,,수국 블루,생화,폼플라워,,,4000,블루,1,,,
,,수국 연핑크,생화,폼플라워,,,5500,핑크,2,월드플로라,,
,,수국 염색 연핑크,생화,폼플라워,,,4000,핑크,2,,,
,,수국 화이트,생화,폼플라워,,,4000,흰색,11,꽃동산-양재,,
,,수선화,생화,폼플라워,,,8000,기타,1,일산플라워,,
,,수선화 겹,생화,폼플라워,,,4000,기타,1,일산플라워,,
,,스카비오사 블루,생화,폼플라워,,,8800,블루,2,월드플로라,,
,,스카비오사 옥스포드 핑크,생화,폼플라워,,,9500,핑크,1,,,
,,스카비오사 화이트,생화,폼플라워,,,9900,흰색,1,,,
,,심비디움 절화,생화,폼플라워,1대,,6000,기타,5,일산플라워,,
,,아가판서스 글레셔,생화,폼플라워,,,9000,,1,,,
,,아가판서스 미니 보라,생화,폼플라워,,,7000,퍼플,1,,,
,,아네모네,생화,폼플라워,,,8000,,1,,,
,,아마릴리스,생화,폼플라워,,,12000,,4,,,
,,아마릴리스 레드,생화,폼플라워,,,15000,레드,10,,,
,,아마릴리스 피치,생화,폼플라워,,,15000,핑크,10,,,
,,안스리움 체리스,생화,폼플라워,,,11500,기타,1,월드플로라,,
,,알륨 코와니,생화,폼플라워,,,6000,기타,1,일산플라워,,
,,작약 사라,생화,폼플라워,,,9000,기타,1,월드플로라,,
,,카라 벤튜라 화이트,생화,폼플라워,,,7800,흰색,1,,,
,,카라 선셋패션 5대,생화,폼플라워,,,15840,기타,2,월드플로라,,
,,카라 연핑크,생화,폼플라워,,,5000,핑크,2,,,
,,카라 옐로우,생화,폼플라워,,,13000,옐로우,2,,,
,,카라 오렌지,생화,폼플라워,,,8000,오렌지,1,,,
,,카라 와인,생화,폼플라워,,,13000,,10,,,
,,카라 화이트 (국산),생화,폼플라워,,,16500,흰색,3,월드플로라,,
,,코스모스 - 오렌지,생화,폼플라워,,,10000,오렌지,1,월드플로라,,
,,코스모스 - 화이트 홑,생화,폼플라워,,,9000,흰색,1,,,
,,코스모스 핑크,생화,폼플라워,,,10560,핑크,1,,,
,,코스모스 화이트,생화,폼플라워,,,1,흰색,1,,,
,,쿠르쿠마 화이트,생화,폼플라워,,,10000,흰색,7,,,
,,클레마티스 어메이징런던,생화,폼플라워,,,9600,,1,,,
,,툴립 더블 레드프린세스,생화,폼플라워,,,17760,레드,1,,,
,,튤립 다이너스티 핑크,생화,폼플라워,,,8000,,2,월드플로라,,
,,튤립 겹 오렌지,생화,폼플라워,,,13000,오렌지,1,,,
,,튤립 노랑,생화,폼플라워,,,13000,옐로우,6,꽃동산-양재,,
,,튤립 노비썬 (국산),생화,폼플라워,,,16500,기타,1,월드플로라,,
,,튤립 레드,생화,폼플라워,,,15000,레드,1,,,
,,튤립 레드 (국산),생화,폼플라워,,,22000,레드,1,월드플로라,,
,,튤립 살몬,생화,폼플라워,,,15000,,2,,,
,,튤립 스트롱골드 노랑,생화,폼플라워,,,16512,옐로우,1,월드플로라,,
,,튤립 시시,생화,폼플라워,,,18500,,1,,,
,,튤립 안타르티카,생화,폼플라워,,,20000,,1,,,
,,튤립 에드램_주황망고,생화,폼플라워,,,15800,오렌지,1,,,
,,튤립 주황망고 (국산),생화,폼플라워,,,20000,오렌지,1,월드플로라,,
,,튤립 캔디프린스,생화,폼플라워,,,10000,기타,1,월드플로라,,
,,튤립 프랑스 레드,생화,폼플라워,,,18000,레드,1,,,
,,튤립 망고튤립,생화,폼플라워,,,12000,오렌지,3,꽃동산-양재,,
,,튤립 핑크,생화,폼플라워,,,11000,핑크,1,,,
,,튤립 핑크별튤립,생화,폼플라워,,,14000,핑크,2,,,
,,튤립 화이트,생화,폼플라워,,,15000,흰색,4,꽃동산-양재,,
,,튤립스팟온,생화,폼플라워,,,6237,기타,1,꽃도매119,,
,,트리플륨,생화,폼플라워,,,4000,보라,1,,,
,,프렌치 메리골드,생화,폼플라워,,,8000,옐로우,1,,,
,,핑크수국,생화,폼플라워,,,5000,핑크,2,일산플라워,,
,,해바라기,생화,폼플라워,,,5800,기타,1,월드플로라,,
,,해바라기 겹,생화,폼플라워,,,5000,,1,,,
,,해바라기 테디베어 레몬,생화,폼플라워,,,7500,,1,,,
,,해바라기 테디베어 오렌지,생화,폼플라워,,,9000,오렌지,1,월드플로라,,
,,화이트튤립,생화,폼플라워,,,15000,흰색,1,성남원예,,
,,히야신스 블루퓨처,생화,폼플라워,,,14000,블루,1,월드플로라,,
,,히야신스 스카이자켓 연블루,생화,폼플라워,,,13440,블루,1,월드플로라,,
,,개미취,생화,필러플라워,,,5000,기타,1,일산플라워-양재,,
,,공작 - 아스타 보라,생화,필러플라워,,,7000,퍼플,1,,,
,,공작 - 아스타 핑크,생화,필러플라워,,,11500,핑크,3,월드플로라,,
,,공작 - 아스타 화이트,생화,필러플라워,,,9000,흰색,1,,,
,,공작 - 화이트,생화,필러플라워,,,12000,흰색,5,,,
,,공작 겹 화이트,생화,필러플라워,,,15800,흰색,1,,,
,,공작 아스타 연핑크,생화,필러플라워,,,11500,핑크,1,,,
,,과꽃 미니 레드,생화,필러플라워,,,5000,레드,1,,,
,,과꽃 퍼플,생화,필러플라워,,,7000,퍼플,1,일산플라워,,
,,과꽃 핑크,생화,필러플라워,,,9000,핑크,1,,,
,,기린초,생화,필러플라워,,,5000,기타,5,일산플라워-양재,,
,,디디스커스 블루,생화,필러플라워,,,7000,블루,2,,,
,,디디스커스 연블루,생화,필러플라워,,,9000,블루,1,,,
,,디디스커스 화이트 (중국),생화,필러플라워,,,10500,흰색,1,월드플로라,,
,,라이스플라워 핑크,생화,필러플라워,,,15500,핑크,1,월드플로라,,
,,레드베리,생화,필러플라워,,,13000,레드,3,,,
,,루드베키아,생화,필러플라워,,,8500,,1,,,
,,마가렛,생화,필러플라워,,,9000,,1,,,
,,미스티블루 환타지아,생화,필러플라워,,,13000,블루,1,꽃동산,,
,,백공작,생화,필러플라워,,,7000,기타,1,일산플라워,,
,,백일홍 - 진핑크,생화,필러플라워,,,8500,핑크,1,,,
,,베로니카,생화,필러플라워,,,5000,,1,,,
,,부바르디아 화이트,생화,필러플라워,,,8000,흰색,1,,,
,,블루옥시,생화,필러플라워,,,5800,블루,1,월드플로라,,
,,사루비아,생화,필러플라워,,,4000,,1,,,
,,석죽 레드,생화,필러플라워,,,4000,레드,3,일산플라워-양재,,
,,석죽 바이칼라,생화,필러플라워,,,11500,,1,,,
,,석죽 썸머라벤다,생화,필러플라워,,,5500,,1,,,
,,석죽 코랄,생화,필러플라워,,,4800,,1,,,
,,석죽 핑크매직,생화,필러플라워,,,8900,핑크,1,,,
,,석죽 화이트 (국산),생화,필러플라워,,,8900,흰색,3,월드플로라,,
,,세네라리아 블루특3,생화,필러플라워,,,12475,블루,1,꽃도매119,,
,,솔리다고,생화,필러플라워,,,6500,기타,1,월드플로라,,
,,스콜,생화,필러플라워,,,8000,,1,일산플라워,,
,,시네라리아,생화,필러플라워,,,11000,,5,일산플라워,,
,,시레네,생화,필러플라워,,,14000,,1,,,
,,쏠리,생화,필러플라워,,,4000,,1,,,
,,아게라덤,생화,필러플라워,,,7000,,1,,,
,,아미초,생화,필러플라워,,,18500,,1,,,
,,아스크레피아스 노랑,생화,필러플라워,,,6500,옐로우,1,,,
,,아스크레피아스 투베로사,생화,필러플라워,,,12000,,1,,,
,,아스크레피아스 화이트,생화,필러플라워,,,12200,흰색,1,,,
,,아스트란시아 밀리언스타 화이트,생화,필러플라워,,,9500,흰색,1,,,
,,아스트란시아 스타오브아프리카,생화,필러플라워,,,12480,기타,1,월드플로라,,
,,알스트로메리아 써니레이디,생화,필러플라워,,,8900,기타,1,월드플로라,,
,,아스틸베 아발란체,생화,필러플라워,,,14400,,1,,,
,,아스틸베 애리카,생화,필러플라워,,,18048,기타,1,월드플로라,,
,,아스틸베 워싱턴 화이트 5대 (네덜란드),생화,필러플라워,,,15000,흰색,2,월드플로라,,
,,아스틸베 폴가더,생화,필러플라워,,,12000,,1,,,
,,알스트로메리아 - 버지니아 화이트,생화,필러플라워,,,9200,흰색,1,월드플로라,,
,,알스트로메리아 - 자주,생화,필러플라워,,,8000,기타,1,꽃동산,,
,,알스트로메리아 - 휘슬러 화이트,생화,필러플라워,,,9800,흰색,2,월드플로라,,
,,알스트로메리아 노라 진핑크,생화,필러플라워,,,9800,핑크,1,,,
,,알스트로메리아 노랑,생화,필러플라워,,,9200,핑크,1,,,
,,알스트로메리아 레드,생화,필러플라워,,,5000,레드,3,,,
,,알스트로메리아 레드 (국산),생화,필러플라워,,,5500,레드,1,월드플로라,,
,,알스트로메리아 밀라,생화,필러플라워,,,9800,,1,,,
,,알스트로메리아 오렌지퀸,생화,필러플라워,,,9200,오렌지,1,,,
,,알스트로메리아 오렌지퀸 (콜롬비아),생화,필러플라워,,,9800,오렌지,1,월드플로라,,
,,알스트로메리아 피치 피피,생화,필러플라워,,,9200,핑크,2,월드플로라,,
,,알스트로메리아 핑크,생화,필러플라워,,,8000,핑크,1,꽃동산-양재,,
,,옥시 블루,생화,필러플라워,,,15168,블루,3,,,
,,옥시 화이트,생화,필러플라워,,,13440,흰색,3,,,
,,온디시움 5대,생화,필러플라워,,,18048,기타,1,월드플로라,,
,,올라야아미초,생화,필러플라워,,,12000,,1,월드플로라,,
,,와트리,생화,필러플라워,,,13000,기타,2,파란마을,,
,,왁스플라워 노랑,생화,필러플라워,,,12672,옐로우,2,,,
,,왁스플라워 레드,생화,필러플라워,,,14000,레드,1,성남원예,,
,,왁스플라워 레드 (중국),생화,필러플라워,,,13000,레드,2,,,
,,왁스플라워 블루,생화,필러플라워,,,12480,블루,3,,,
,,왁스플라워 연블루 (중국),생화,필러플라워,,,13000,블루,1,월드플로라,,
,,왁스플라워 연연라벤더,생화,필러플라워,,,13200,퍼플,1,,,
,,왁스플라워 오렌지,생화,필러플라워,,,13000,오렌지,1,월드플로라,,
,,왁스플라워 체리블라썸 핑크,생화,필러플라워,,,12480,핑크,1,,,
,,왁스플라워 핑크,생화,필러플라워,,,10800,핑크,2,월드플로라,,
,,왁스플라워 화이트,생화,필러플라워,,,10800,흰색,1,,,
,,유채꽃,생화,필러플라워,,,5000,,2,일산플라워,,
,,잎안개,생화,필러플라워,,,6500,,1,,,
,,천조초,생화,필러플라워,,,7000,,3,일산플라워,,
,,청공작,생화,필러플라워,,,8000,기타,2,일산플라워,,
,,촛불 맨드라미 쉘웨이 오렌지,생화,필러플라워,,,8000,오렌지,1,월드플로라,,
,,핑크부바르디아,생화,필러플라워,,,8000,핑크,1,일산플라워-양재,,
,,하이베리콤,생화,필러플라워,,,15000,,5,,,
,,향등골 (국산),생화,필러플라워,,,11500,기타,1,월드플로라,,
,,헤라,생화,필러플라워,,,5000,,1,,,
,,헬레늄,생화,필러플라워,,,5000,기타,46,일산플라워,,
,,헬레보루스,생화,필러플라워,,,7000,기타,3,꽃동산-양재,,
,,헬리옵시스,생화,필러플라워,,,7000,,1,,,
,,후룩스 화이트,생화,필러플라워,,,7000,흰색,1,,,
,,글라디올라스 화이트,생화,라인플라워,,,19200,흰색,11,월드플로라,,
,,글라디올러스 - 미니 앰버,생화,라인플라워,,,12500,기타,1,월드플로라,,
,,글라디올러스 노랑,생화,라인플라워,,,16500,옐로우,1,,,
,,글라디올러스 미니 서머주얼 (네덜란드),생화,라인플라워,,,11800,,1,,,
,,글라디올러스 미니 서머주얼 10대,생화,라인플라워,,,12500,,1,,,
,,글라디올러스 오아시스 (국산),생화,라인플라워,,,12200,,1,,,
,,금어초,생화,라인플라워,,,4000,기타,2,일산플라워,,
,,금어초 - 핑크,생화,라인플라워,,,16800,핑크,1,월드플로라,,
,,금어초 옐로우,생화,라인플라워,,,9000,옐로우,1,일산플라워,,
,,금어초 핑크복색,생화,라인플라워,,,9500,핑크,1,,,
,,금어초 화이트,생화,라인플라워,,,7392,흰색,3,,,
,,금어초레드,생화,라인플라워,,,14000,레드,1,,,
,,덴파레 피치,생화,라인플라워,,,15000,핑크,1,월드플로라,,
,,델피늄 라벤더,생화,라인플라워,,,9500,퍼플,3,,,
,,델피늄 블루 대,생화,라인플라워,,,11500,블루,1,,,
,,델피늄 연블루 대,생화,라인플라워,,,20000,블루,1,월드플로라,,
,,델피늄그랜드불루미니,생화,라인플라워,,,12475,기타,1,꽃도매119,,
,,라벤다,생화,라인플라워,,,15000,기타,1,꽃동산,,
,,멕시칸세이지,생화,라인플라워,,,7000,,1,,,
,,모카라 레드,생화,라인플라워,,,8000,레드,14,꽃나라,,
,,모카라 오렌지,생화,라인플라워,,,8000,오렌지,2,알파플라워,,
,,모카라 퍼플,생화,라인플라워,,,8500,퍼플,1,,,
,,델피늄  미니 쉬폰블루,생화,라인플라워,,,15500,블루,1,월드플로라,,
,,미니 델피늄 그랜드블루 특 (국산),생화,라인플라워,,,17000,블루,1,월드폴로라,,
,,미니 델피늄 라벤더 (국산),생화,라인플라워,,,15000,퍼플,1,월드플로라,,
,,밥티시아,생화,라인플라워,,,8000,기타,4,향기꽃나라,,
,,서양란 절화 아즈마 레드,생화,라인플라워,,,11040,레드,4,월드플로라,,
,,스토크  연보라,생화,라인플라워,,,6500,퍼플,1,,,
,,스토크 아이보리,생화,라인플라워,,,10500,기타,1,월드플로라,,
,,스토크 아프리코트,생화,라인플라워,,,2525,,2,,,
,,스토크 연핑크,생화,라인플라워,,,9500,핑크,1,,,
,,스토크 핑크,생화,라인플라워,,,5000,핑크,1,꽃동산,,
,,스토크 홑 핑크,생화,라인플라워,,,6500,핑크,1,,,
,,스토크 화이트,생화,라인플라워,,,7500,흰색,1,,,
,,아이리스 블루매직,생화,라인플라워,,,12000,블루,1,월드플로라,,
,,아이리스 상하이,생화,라인플라워,,,15500,,1,월드플로라,,
,,아이리스 화이트매지,생화,라인플라워,,,11520,흰색,1,,,
,,오니소갈륨 선더시애 화이트,생화,라인플라워,,,9000,흰색,1,,,
,,용담,생화,라인플라워,,,9000,,1,,,
,,줄맨드라미 - 그린,생화,라인플라워,,,9000,그린,1,월드플로라,,
,,줄맨드라미 레드,생화,라인플라워,,,14500,레드,1,,,
,,천일홍,생화,라인플라워,,,5000,기타,1,일산플라워,,
,,천일홍 - 화이트,생화,라인플라워,,,6000,흰색,1,일산플라워,,
,,천일홍 레드,생화,라인플라워,,,6000,레드,1,,,
,,천일홍 보라,생화,라인플라워,,,6500,퍼플,1,,,
,,천일홍 화이트,생화,라인플라워,,,6000,흰색,1,,,
,,층꽃 - 화이트,생화,라인플라워,,,15000,흰색,1,월드플로라,,
,,층꽃 보라,생화,라인플라워,,,12000,퍼플,1,,,
,,층꽃 핑크,생화,라인플라워,,,13000,핑크,1,,,
,,캄파눌라 라벤더,생화,라인플라워,,,7500,퍼플,1,,,
,,프리미엄수국,생화,라인플라워,,,6930,기타,6,디자인쁘랭땅,,
,,프리지아 노랑,생화,라인플라워,,,10000,옐로우,2,월드플로라,,
,,프리지아 보라,생화,라인플라워,,,16000,퍼플,1,,,
,,소재 계피스틱,생화,소재(그린),,,9600,,1,,,
,,소재 나무피,생화,소재(그린),,,30000,,1,,,
,,소재 낙산홍,생화,소재(그린),,,13000,,1,,,
,,소재 남아공 믹스,생화,소재(그린),,,15000,기타,1,꽃동산,,
,,소재 남천,생화,소재(그린),,,5000,기타,1,꽃동산,,
,,소재 냉이초,생화,소재(그린),,,8000,,3,,,
,,소재 더글라스,생화,소재(그린),,,7000,,2,,,
,,소재 블랙잭수입,생화,소재(그린),,,13000,블랙,1,,,
,,소재 비단향,생화,소재(그린),,,5000,,1,,,
,,소재 비부리움,생화,소재(그린),,,5000,,1,,,
,,소재 산딸,생화,소재(그린),,,7000,기타,3,대명소재,,
,,소재 - 꼬리조팝 핑크,생화,소재(그린),,,11500,핑크,1,월드플로라,,
,,소재 - 냉이 꽃,생화,소재(그린),,,10000,기타,1,월드플로라,,
,,소재 - 등골나무 - 핑크,생화,소재(그린),,,4500,핑크,1,월드플로라,,
,,소재 - 바다갈대,생화,소재(그린),,,6500,,1,,,
,,소재 - 보리사초,생화,소재(그린),,,8000,기타,1,꽃동산,,
,,소재 - 솔리다고,생화,소재(그린),,,8000,기타,1,월드플로라,,
,,소재 - 유니폴라,생화,소재(그린),,,12500,,2,,,
,,소재 - 잎새란,생화,소재(그린),,,7000,,1,,,
,,소재 - 줄쥐똥나무,생화,소재(그린),,,8000,,1,,,
,,소재 - 페니쿰,생화,소재(그린),,,10500,,1,,,
,,소재 - 피토스포륨,생화,소재(그린),,,10000,기타,1,월드플로라,,
,,소재 - 홍가시,생화,소재(그린),,,10000,기타,2,월드플로라,,
,,소재 강아지풀 (국산),생화,소재(그린),,,7500,,3,,,
,,소재 개나리,생화,소재(그린),,,7000,,1,대명소재,,
,,소재 골드 미스티,생화,소재(그린),,,15000,옐로우,1,,,
,,소재 기린초,생화,소재(그린),,,7500,,1,,,
,,소재 꼬리조팝,생화,소재(그린),,,7000,기타,1,일산플라워-양재,,
,,소재 냉이초,생화,소재(그린),,,7000,,1,,,
,,소재 당근초,생화,소재(그린),,,10000,,1,,,
,,소재 더글라스,생화,소재(그린),,,10500,,1,,,
,,소재 라보스타,생화,소재(그린),,,6000,,2,,,
,,소재 레몬잎,생화,소재(그린),,,7000,기타,6,꽃나라-양재,,
,,소재 레몬트리,생화,소재(그린),,,6500,,1,,,
,,소재 유스커스,생화,소재(그린),,,8000,,4,꽃동산-양재,,
,,소재 유스커스 장대,생화,소재(그린),,,10000,,1,,,
,,소재 머틀,생화,소재(그린),,,5000,,1,,,
,,소재 미모사,생화,소재(그린),,,11500,,5,월드플로라,,
,,소재 미선,생화,소재(그린),,,9000,기타,1,대명소재,,
,,소재 밍크버들,생화,소재(그린),,,8000,,3,,,
,,소재 보리사초,생화,소재(그린),,,7000,,1,,,
,,소재 블루아이스,생화,소재(그린),,,15500,블루,1,,,
,,소재 사철나무,생화,소재(그린),,,5000,,1,,,
,,소재 삼나무,생화,소재(그린),,,5000,,1,,,
,,소재 서귀,생화,소재(그린),,,5000,기타,5,대명소재-양재,,
,,소재 설유화,생화,소재(그린),,,12000,,2,진주화원,,
,,소재 스기나무,생화,소재(그린),,,7000,기타,1,월드플로라,,
,,소재 스틸그라스 (국산),생화,소재(그린),,,7500,,1,월드플로라,,
,,소재 신지매,생화,소재(그린),,,12500,,1,,,
,,소재 야자,생화,소재(그린),,,8500,기타,1,월드플로라,,
,,소재 에레루카골드,생화,소재(그린),,,12000,옐로우,1,,,
,,소재 역뀌,생화,소재(그린),,,11800,,1,,,
,,소재 영춘화,생화,소재(그린),,,8500,,1,,,
,,소재 오리목,생화,소재(그린),,,7000,,1,,,
,,소재 오리목 골드,생화,소재(그린),,,10000,옐로우,2,,,
,,소재 오이초,생화,소재(그린),,,5000,,13,,,
,,소재 와틀리,생화,소재(그린),,,8000,기타,1,대명소재,,
,,소재 유니폴라,생화,소재(그린),,,9500,,2,,,
,,소재 유카리 포퓰러스베리 그린,생화,소재(그린),,,16500,그린,1,,,
,,소재 유칼립투스 구니,생화,소재(그린),,,7500,,1,,,
,,소재 유칼립투스 블랙잭,생화,소재(그린),,,13000,블랙,1,,,
,,소재 유칼립투스 킹블랙잭,생화,소재(그린),,,13000,블랙,4,꽃동산-양재,,
,,소재 유칼립투스 폴리안,생화,소재(그린),,,7000,,1,,,
,,소재 유칼립투스블랙잭 수입,생화,소재(그린),,,13000,블랙,1,,,
,,소재 은사철,생화,소재(그린),,,6500,기타,1,일산플라워,,
,,소재 은엽아카시아,생화,소재(그린),,,9500,,1,,,
,,소재 이끼시아열매 (국산),생화,소재(그린),,,9000,기타,1,월드플로라,,
,,소재 이반호프,생화,소재(그린),,,15000,,2,,,
,,소재 자리공,생화,소재(그린),,,7000,,2,,,
,,소재 조,생화,소재(그린),,,4000,,1,,,
,,소재 조팝,생화,소재(그린),,,12000,,9,진주화원,,
,,소재 줄쥐똥나무,생화,소재(그린),,,8000,,1,,,
,,소재 쥐땅나무,생화,소재(그린),,,7000,,1,,,
,,소재 천리향,생화,소재(그린),,,6500,기타,1,월드플로라,,
,,소재 청쥐똥나무,생화,소재(그린),,,7500,,1,,,
,,소재 페니쿰수쿠아,생화,소재(그린),,,7000,,1,,,
,,소재 편백,생화,소재(그린),,,2500,,1,,,
,,소재 피어리스 레드 (중국),생화,소재(그린),,,9500,레드,1,,,
,,소재 허브 라벤더 잎,생화,소재(그린),,,7500,퍼플,1,,,
,,솔방울,생화,소재(그린),,,4000,,1,,,
,,솔방울 3cm,생화,소재(그린),,,3300,,3,,,
,,오렌지 슬라이스 드라이,생화,소재(그린),,,27500,오렌지,1,,,
,,소재 유카립투스 체리,생화,소재(그린),,,13000,기타,7,꽃동산,,
,,소재 유칼립투스 파블로,생화,소재(그린),,,9000,,2,,,
,,소재 은사철,생화,소재(그린),,,6500,,1,,,
,,소재 잎설유,생화,소재(그린),,,6000,기타,10,일산플라워,,
,,소재 패니쿰,생화,소재(그린),,,4000,기타,1,밝은꿈-양재,,
,,소재 하트유카리,생화,소재(그린),,,7000,,2,,,
,,소재 홍가시,생화,소재(그린),,,6000,기타,1,대명소재,,
,,국화 디스버드,생화,국화류,,,7075,,5,,,
,,국화 라포르화이트특3,생화,국화류,,,5725,흰색,1,꽃도매119,,
,,국화 퍼플링,생화,국화류,,,7075,퍼플,1,,,
,,대국 피오니 퐁퐁 오렌지,생화,국화류,,,10560,오렌지,1,,,
,,대국 피오니퐁퐁 염색 네이비 5대,생화,국화류,,,11500,,1,,,
,,대국 피오니퐁퐁 염색 연피치,생화,국화류,,,13000,핑크,1,,,
,,대국 피오니퐁퐁 염색 연핑크,생화,국화류,,,11500,핑크,1,,,
,,대국 피오니퐁퐁 염색 오렌지,생화,국화류,,,10500,오렌지,1,,,
,,대국 피오니퐁퐁 염색 오렌지파스텔),생화,국화류,,,11500,오렌지,1,,,
,,대국 피오니퐁퐁 염색 진핑크,생화,국화류,,,10500,핑크,1,,,
,,대국 피오니퐁퐁 염색 퍼플,생화,국화류,,,11500,퍼플,3,,,
,,소국  첫사랑,생화,국화류,,,8800,,1,,,
,,소국 - 보라미,생화,국화류,,,12500,퍼플,1,,,
,,소국 - 영크림,생화,국화류,,,5500,흰색,1,,,
,,소국 - 피치팡팡,생화,국화류,,,7500,핑크,1,월드플로라,,
,,소국 - 화이트캡,생화,국화류,,,11500,흰색,1,월드플로라,,
,,소국 다이아몬드,생화,국화류,,,10500,,1,,,
,,소국 락스 (국산),생화,국화류,,,6200,기타,1,월드플로라,,
,,소국 러브 노랑,생화,국화류,,,7500,옐로우,1,,,
,,소국 러브 핑크 (국산),생화,국화류,,,7500,핑크,1,월드플로라,,
,,소국 러브 화이트,생화,국화류,,,7500,흰색,1,,,
,,소국 레드마블,생화,국화류,,,14000,레드,2,,,
,,소국 바르카디스버드,생화,국화류,,,15000,,1,,,
,,소국 스위트옐로우,생화,국화류,,,8500,옐로우,1,,,
,,소국 에그 엔젤 (국산),생화,국화류,,,9000,,1,,,
,,소국 영영,생화,국화류,,,15000,,4,,,
,,소국 오렌지 팡팡,생화,국화류,,,15500,오렌지,1,,,
,,소국 칼리메로 스노우 5대 (베트남),생화,국화류,,,5500,흰색,1,월드플로라,,
,,소국 칼리메로스노우,생화,국화류,,,5500,흰색,1,,,
,,소국 큐티버블,생화,국화류,,,7000,기타,1,월드플로라,,
,,소국 크룸,생화,국화류,,,4000,,2,,,
,,소국 퐁퐁 옐로우,생화,국화류,,,8000,옐로우,2,꽃동산,,
,,소국 프로기,생화,국화류,,,6500,기타,1,월드플로라,,
,,소국 핑크 크림 (국산),생화,국화류,,,12000,흰색,1,월드플로라,,
,,소국 화이트,생화,국화류,,,5000,흰색,1,,,
,,소국 화이트캡,생화,국화류,,,5225,흰색,1,,,
,,소국 화이트캡 (국산),생화,국화류,,,8500,흰색,1,월드플로라,,
,,안개소국 화이트 (국산),생화,국화류,,,6500,흰색,2,월드플로라,,
,,피오니 퐁퐁 염색 파스텔블루,생화,국화류,,,9900,블루,1,월드플로라,,
,,피오니퐁퐁 - 염색 연피치,생화,국화류,,,11500,핑크,1,월드플로라,,
,,피오니퐁퐁 - 염색 퍼플 5대,생화,국화류,,,11500,퍼플,1,월드플로라,,
,,피오니퐁퐁 염색 파스텔블루,생화,국화류,,,13000,블루,1,월드플로라,,
,,피오니퐁퐁 염색 화이트블루,생화,국화류,,,11232,흰색,1,월드플로라,,
,,피오니퐁퐁 퍼플파스텔,생화,국화류,,,11520,퍼플,1,월드플로라,,
,,화이트퐁퐁,생화,국화류,,,5000,흰색,1,,,
,,소국 - 장미 투톤,생화,국화류,,,11000,,2,,,
,,소국 장미,생화,국화류,,,13000,,1,,,
,,소국 홍장미,생화,국화류,,,14000,,1,,,
,,소국 홍장미 투톤,생화,국화류,,,9000,,1,,,
,,카네이션  염색 블루킹,생화,카네이션류,,,15000,블루,3,꽃동산-양재,,
,,카네이션 - 머스탱,생화,카네이션류,,,10500,기타,1,월드플로라,,
,,카네이션 - 애플티,생화,카네이션류,,,14000,기타,1,월드플로라,,
,,카네이션 - 염색 코스모라일락,생화,카네이션류,,,15000,기타,1,월드플로라,,
,,카네이션 -유카리체리,생화,카네이션류,,,13000,기타,2,꽃동산-양재,,
,,카네이션 노비아,생화,카네이션류,,,13000,,4,꽃동산-양재,,
